~id,~label,symbol:String,exp_hr_coeff:String,hr_pval:String
gene:AC090186.1,Gene,AC090186.1,N/A,N/A
gene:AC090616.2,Gene,AC090616.2,N/A,N/A
gene:AC090825.1,Gene,AC090825.1,N/A,N/A
gene:AC091801.1,Gene,AC091801.1,N/A,N/A
gene:AC092071.1,Gene,AC092071.1,N/A,N/A
gene:AC092198.1,Gene,AC092198.1,N/A,N/A
gene:AC092535.3,Gene,AC092535.3,N/A,N/A
gene:AC092850.1,Gene,AC092850.1,N/A,N/A
gene:AC093063.3,Gene,AC093063.3,N/A,N/A
gene:AC093642.5,Gene,AC093642.5,N/A,N/A
gene:AC093677.1,Gene,AC093677.1,N/A,N/A
gene:AC093838.4,Gene,AC093838.4,N/A,0.994918
gene:AC096574.5,Gene,AC096574.5,N/A,N/A
gene:AC096579.1,Gene,AC096579.1,N/A,N/A
gene:AC096579.13,Gene,AC096579.13,N/A,N/A
gene:AC096772.6,Gene,AC096772.6,N/A,N/A
gene:AC097374.2,Gene,AC097374.2,N/A,N/A
gene:AC098784.2,Gene,AC098784.2,N/A,N/A
gene:AC098973.1,Gene,AC098973.1,N/A,N/A
gene:AC100757.1,Gene,AC100757.1,N/A,N/A
gene:AC103801.2,Gene,AC103801.2,N/A,N/A
gene:AC103809.2,Gene,AC103809.2,N/A,N/A
gene:AC104135.3,Gene,AC104135.3,N/A,N/A
gene:AC104304.1,Gene,AC104304.1,N/A,N/A
gene:AC104534.3,Gene,AC104534.3,N/A,N/A
gene:AC104654.1,Gene,AC104654.1,N/A,N/A
gene:AC104809.2,Gene,AC104809.2,N/A,N/A
gene:AC104809.3,Gene,AC104809.3,N/A,N/A
gene:AC104841.2,Gene,AC104841.2,N/A,N/A
gene:AC105339.2,Gene,AC105339.2,N/A,N/A
gene:AC106876.2,Gene,AC106876.2,N/A,N/A
gene:AC108142.1,Gene,AC108142.1,N/A,N/A
gene:AC110615.1,Gene,AC110615.1,N/A,N/A
gene:AC110619.2,Gene,AC110619.2,N/A,N/A
gene:AC110781.3,Gene,AC110781.3,N/A,N/A
gene:AC114494.1,Gene,AC114494.1,N/A,N/A
gene:AC114546.1,Gene,AC114546.1,N/A,N/A
gene:AC115618.1,Gene,AC115618.1,N/A,N/A
gene:AC116050.1,Gene,AC116050.1,N/A,N/A
gene:AC116165.1,Gene,AC116165.1,N/A,N/A
gene:AC116366.6,Gene,AC116366.6,N/A,N/A
gene:AC117834.1,Gene,AC117834.1,N/A,N/A
gene:AC118138.2,Gene,AC118138.2,N/A,N/A
gene:AC120194.1,Gene,AC120194.1,N/A,N/A
gene:AC121757.1,Gene,AC121757.1,N/A,N/A
gene:AC126323.1,Gene,AC126323.1,N/A,N/A
gene:AC129492.6,Gene,AC129492.6,N/A,N/A
gene:AC133680.1,Gene,AC133680.1,N/A,N/A
gene:AC133785.1,Gene,AC133785.1,N/A,N/A
gene:AC135048.1,Gene,AC135048.1,N/A,N/A
gene:AC136604.1,Gene,AC136604.1,N/A,N/A
gene:AC136698.1,Gene,AC136698.1,N/A,N/A
gene:AC137932.1,Gene,AC137932.1,N/A,N/A
gene:AC137934.1,Gene,AC137934.1,N/A,N/A
gene:AC138710.1,Gene,AC138710.1,N/A,N/A
gene:AC139100.2,Gene,AC139100.2,N/A,N/A
gene:AC140481.2,Gene,AC140481.2,N/A,N/A
gene:AC142381.1,Gene,AC142381.1,N/A,N/A
gene:AC226119.5,Gene,AC226119.5,N/A,N/A
gene:ACAA1,Gene,ACAA1,N/A,N/A
gene:ACAA2,Gene,ACAA2,N/A,N/A
gene:ACACA,Gene,ACACA,N/A,0.995483
gene:ACACB,Gene,ACACB,N/A,0.994679
gene:ACAD10,Gene,ACAD10,N/A,N/A
gene:ACAD11,Gene,ACAD11,0.390661,0.415054
gene:ACAD8,Gene,ACAD8,N/A,N/A
gene:ACAD9,Gene,ACAD9,N/A,N/A
gene:ACADL,Gene,ACADL,N/A,N/A
gene:ACADM,Gene,ACADM,N/A,N/A
gene:ACADS,Gene,ACADS,N/A,N/A
gene:ACADSB,Gene,ACADSB,N/A,N/A
gene:ACADVL,Gene,ACADVL,N/A,N/A
gene:ACAN,Gene,ACAN,N/A,0.887518
gene:ACAP1,Gene,ACAP1,0.134113,0.0755773
gene:ACAP2,Gene,ACAP2,N/A,N/A
gene:ACAP3,Gene,ACAP3,0.314502,0.338331
gene:ACAT1,Gene,ACAT1,N/A,N/A
gene:ACAT2,Gene,ACAT2,N/A,N/A
gene:ACBD3,Gene,ACBD3,N/A,N/A
gene:ACBD4,Gene,ACBD4,N/A,N/A
gene:ACBD5,Gene,ACBD5,N/A,N/A
gene:ACBD6,Gene,ACBD6,N/A,N/A
gene:ACBD7,Gene,ACBD7,N/A,N/A
gene:ACCS,Gene,ACCS,N/A,N/A
gene:ACCSL,Gene,ACCSL,N/A,N/A
gene:ACD,Gene,ACD,N/A,N/A
gene:ACE,Gene,ACE,0.155158,0.0486435
gene:ACE2,Gene,ACE2,N/A,0.994905
gene:ACER1,Gene,ACER1,N/A,N/A
gene:ACER2,Gene,ACER2,N/A,N/A
gene:ACER3,Gene,ACER3,N/A,N/A
gene:ACHE,Gene,ACHE,N/A,N/A
gene:ACIN1,Gene,ACIN1,N/A,0.995781
gene:ACKR2,Gene,ACKR2,N/A,N/A
gene:ACKR3,Gene,ACKR3,0.389205,0.516537
gene:ACKR4,Gene,ACKR4,N/A,N/A
gene:ACLY,Gene,ACLY,0.109336,0.0553491
gene:ACMSD,Gene,ACMSD,N/A,N/A
gene:ACN9,Gene,ACN9,N/A,N/A
gene:ACO1,Gene,ACO1,N/A,N/A
gene:ACO2,Gene,ACO2,N/A,N/A
gene:ACOT1,Gene,ACOT1,N/A,N/A
gene:ACOT11,Gene,ACOT11,N/A,N/A
gene:ACOT12,Gene,ACOT12,0.109075,0.129634
gene:ACOT13,Gene,ACOT13,N/A,N/A
gene:ACOT2,Gene,ACOT2,N/A,N/A
gene:ACOT4,Gene,ACOT4,N/A,N/A
gene:ACOT6,Gene,ACOT6,N/A,N/A
gene:ACOT7,Gene,ACOT7,N/A,0.995718
gene:ACOT8,Gene,ACOT8,N/A,N/A
gene:ACOT9,Gene,ACOT9,N/A,N/A
gene:ACOX1,Gene,ACOX1,N/A,N/A
gene:ACOX2,Gene,ACOX2,N/A,0.995667
gene:ACOX3,Gene,ACOX3,N/A,0.994266
gene:ACOXL,Gene,ACOXL,N/A,N/A
gene:ACP1,Gene,ACP1,N/A,N/A
gene:ACP2,Gene,ACP2,N/A,N/A
gene:ACP5,Gene,ACP5,N/A,N/A
gene:ACP6,Gene,ACP6,N/A,N/A
gene:ACPL2,Gene,ACPL2,N/A,N/A
gene:ACPP,Gene,ACPP,N/A,N/A
gene:ACPT,Gene,ACPT,N/A,N/A
gene:ACR,Gene,ACR,N/A,N/A
gene:ACRBP,Gene,ACRBP,N/A,0.994404
gene:ACRC,Gene,ACRC,N/A,N/A
gene:ACRV1,Gene,ACRV1,N/A,N/A
gene:ACSBG1,Gene,ACSBG1,N/A,0.995923
gene:ACSBG2,Gene,ACSBG2,N/A,0.996167
gene:ACSF2,Gene,ACSF2,N/A,N/A
gene:ACSF3,Gene,ACSF3,N/A,N/A
gene:ACSL1,Gene,ACSL1,N/A,0.995332
gene:ACSL3,Gene,ACSL3,N/A,N/A
gene:ACSL4,Gene,ACSL4,N/A,N/A
gene:ACSL5,Gene,ACSL5,N/A,N/A
gene:ACSL6,Gene,ACSL6,N/A,N/A
gene:ACSM1,Gene,ACSM1,0.329183,0.383163
gene:ACSM2A,Gene,ACSM2A,N/A,0.99649
gene:ACSM2B,Gene,ACSM2B,N/A,0.995901
gene:ACSM3,Gene,ACSM3,N/A,N/A
gene:ACSM4,Gene,ACSM4,N/A,0.994507
gene:ACSM5,Gene,ACSM5,N/A,N/A
gene:ACSS1,Gene,ACSS1,N/A,N/A
gene:ACSS2,Gene,ACSS2,N/A,0.995766
gene:ACSS3,Gene,ACSS3,0.323033,0.349506
gene:ACTA1,Gene,ACTA1,N/A,0.994857
gene:ACTA2,Gene,ACTA2,N/A,N/A
gene:ACTB,Gene,ACTB,N/A,N/A
gene:ACTBL2,Gene,ACTBL2,N/A,0.99443
gene:ACTC1,Gene,ACTC1,N/A,N/A
gene:ACTG1,Gene,ACTG1,N/A,N/A
gene:ACTG2,Gene,ACTG2,N/A,N/A
gene:ACTL10,Gene,ACTL10,N/A,N/A
gene:ACTL6A,Gene,ACTL6A,N/A,N/A
gene:ACTL6B,Gene,ACTL6B,N/A,0.995682
gene:ACTL7A,Gene,ACTL7A,N/A,N/A
gene:ACTL7B,Gene,ACTL7B,N/A,0.994959
gene:ACTL8,Gene,ACTL8,N/A,N/A
gene:ACTL9,Gene,ACTL9,0.257893,0.248634
gene:ACTN1,Gene,ACTN1,0.340663,0.46099
gene:ACTN2,Gene,ACTN2,0.258468,0.167727
gene:ACTN3,Gene,ACTN3,N/A,N/A
gene:ACTN4,Gene,ACTN4,N/A,0.994426
gene:ACTR10,Gene,ACTR10,N/A,N/A
gene:ACTR1A,Gene,ACTR1A,N/A,N/A
gene:ACTR1B,Gene,ACTR1B,N/A,N/A
gene:ACTR2,Gene,ACTR2,N/A,N/A
gene:ACTR3,Gene,ACTR3,N/A,N/A
gene:ACTR3B,Gene,ACTR3B,N/A,N/A
gene:ACTR3C,Gene,ACTR3C,N/A,N/A
gene:ACTR5,Gene,ACTR5,N/A,N/A
gene:ACTR6,Gene,ACTR6,N/A,N/A
gene:ACTR8,Gene,ACTR8,N/A,N/A
gene:ACTRT1,Gene,ACTRT1,N/A,N/A
gene:ACTRT2,Gene,ACTRT2,N/A,N/A
gene:ACTRT3,Gene,ACTRT3,N/A,N/A
gene:ACVR1,Gene,ACVR1,N/A,N/A
gene:ACVR1B,Gene,ACVR1B,0.337858,0.36843
gene:ACVR1C,Gene,ACVR1C,N/A,N/A
