"Gene","Clinically_Sig"
"CCDC61",0
"KCNA7",0
"ZNF816",0
"NLRP13",0
"OLFM3",0
"PADI1",0
"IGSF21",0
"LBR",1
"OR2T6",0
"IL12RB2",0
"TYW3",0
"BAGE2",0
"TIAM1",1
"LZTR1",1
"SEZ6L",0
"CDK15",0
"ATG9A",0
"SLC4A3",0
"NGEF",0
"DGKD",0
"HDAC4",1
"ADCY3",0
"SOCS5",0
"MRPL53",0
"LOXL3",0
"ZBTB20",1
"TMEM108",0
"EOMES",0
"SCN5A",1
"CCDC51",0
"SLC26A6",0
"DOCK3",0
"SFMBT1",0
"FAT4",1
"CLDN22",0
"PCDHGA5",0
"GRXCR2",0
"DUSP1",0
"BOD1",1
"RAB3C",0
"ZBTB22",0
"CDYL",0
"RREB1",0
"PCOLCE",0
"KCNH2",1
"FSCN1",0
"AKAP9",0
"LOXL2",0
"CCDC180",0
"DPH7",0
"SLC24A2",0
"UBAP2",0
"KIAA1210",0
"GRIA3",1
"TAF1",1
"KLHL4",0
"SLIT1",0
"CRTAM",0
"TIRAP",0
"QSER1",0
"OR51G1",0
"DLG2",0
"GALNT8",0
"PTPRB",0
"HAL",0
"PPL",0
"SPECC1",0
"GPR179",0
"GRB7",0
"C18orf8",0
"CDH7",0
"MAST1",1
"ZNF493",0
"APLP1",0
"RALGPS2",0
"RNF2",0
"IFT52",1
"FERMT1",1
"LTN1",0
"COL6A1",1
"TCF20",1
"TAF1B",0
"MTERFD2",0
"ITGB1BP1",0
"KIAA2018",0
"MED12L",1
"RAP2B",0
"ITIH3",0
"TRIM2",0
"TLR6",0
"PPBP",0
"GRID2",1
"HK3",0
"HMGCR",0
"LRRC16A",0
"BBS9",1
"ANLN",0
"DLC1",0
"RANBP6",0
"MIR20B",0
"GDPD2",0
"SKIDA1",0
"OR56A1",0
"KIF21A",1
"ZCRB1",0
"FGD6",0
"NBEA",1
"NPAS3",0
"ARID4A",0
"GPHN",1
"BUB1B",1
"UNC13C",0
"TNS4",0
"MED13",1
"TBCD",1
"STARD6",0
"EPB41L3",0
"RFX1",0
"CHERP",0
"MYO9B",0
"SNRNP70",0
"PADI2",0
"RAB4A",0
"OR14K1",0
"GCLM",0
"HM13",0
"TBC1D22A",0
"RANBP2",0
"MAP3K19",0
"RHOB",0
"GAP43",0
"CCDC58",0
"KIF15",0
"CPNE9",0
"HHIP",0
"WDR17",0
"FAF2",0
"VTA1",0
"MLLT4",0
"HIST1H3I",0
"MET",1
"ZNF777",0
"FKBP6",0
"ANGPT1",0
"RSPO2",1
"PURG",0
"SETX",1
"MAOA",0
"PNLIPRP2",0
"FAR1",1
"SART1",0
"NUMA1",0
"SCARB1",0
"PRICKLE1",0
"KRT79",0
"LRIG3",0
"MAB21L1",0
"UBR1",1
"CTDSPL2",0
"CDH13",0
"GAS2L2",0
"FARSA",1
"UNC13A",0
"STAP2",0
"ZNF766",0
"EXTL2",0
"FCGR1A",0
"NADK",0
"PADI4",0
"HMCN1",0
"WDR64",0
"MACF1",0
"NCAM2",0
"TTC3",0
"CRYBB2",1
"MFSD9",0
"FAM117B",0
"SLC30A6",0
"VWA3B",0
"NKTR",0
"CADM2",0
"CAMK2D",0
"NR3C2",1
"LRBA",1
"GAK",0
"PPP2CA",0
"NNT",1
"SOBP",0
"MCM9",0
"GTF2H4",0
"ANKS1A",0
"BACH2",0
"RB1CC1",0
"ZBTB6",0
"NUP188",0
"IFFO1",0
"FARP1",0
"CALR",0
"PDE4C",0
"NLRP2",1
"CST8",0
"BPI",0
"CENPB",0
"JPH2",0
"RTEL1",1
"NOP58",0
"SLC10A4",0
"ARHGAP39",0
"HSD17B7P2",0
"PFKFB3",0
"CARD18",0
"ETS1",1
"NUP160",1
"FADD",0
"RSF1",0
"SLC6A13",0
"ABCD2",0
"C12orf66",0
"RBP5",0
"CD163L1",0
"RNF31",0
"EML5",0
"TJP1",0
"HCN4",1
"COG7",1
"PRSS36",0
"CNOT1",1
"KDM6B",1
"PIK3R6",0
"SMAD7",0
"PPAN.P2RY11",0
"B3GNT3",0
"ZNF224",0
"ARHGAP35",1
"PRAMEF20",0
"SHE",0
"INSRR",0
"SPTA1",1
