Gene,Frequency
SGK1,0.0176991150442478
C6orf15,0.023598820058997
KCNQ5,0.0589970501474926
CPA2,0.00589970501474926
STK31,0.0589970501474926
NME8,0.0265486725663717
HECW1,0.109144542772861
SRCRB4D,0.00884955752212389
KIAA1324L,0.0324483775811209
MCM7,0.0353982300884956
CSMD3,0.185840707964602
FAM150A,0.00589970501474926
PTPN3,0.0324483775811209
PALM2.AKAP2,0.0265486725663717
PPP1R26,0.056047197640118
CHUK,0.023598820058997
LZTS2,0.0353982300884956
BAG3,0.0206489675516224
MKX,0.0206489675516224
SYT15,0.0294985250737463
HKDC1,0.0324483775811209
GRAMD1B,0.0294985250737463
TMEM132A,0.0383480825958702
YIF1A,0.0265486725663717
C11orf30,0.0324483775811209
HECTD4,0.115044247787611
FBXO21,0.023598820058997
LRRK2,0.109144542772861
KRT82,0.0294985250737463
KRT6A,0.0265486725663717
CSAD,0.00884955752212389
DDIT3,0.00884955752212389
CEP290,0.0766961651917404
COL4A1,0.0619469026548673
CDX2,0.0206489675516224
BRCA2,0.079646017699115
AHNAK2,0.153392330383481
TRAV9.1,0
CPSF2,0.0294985250737463
NEDD4,0.0442477876106195
CA12,0.00884955752212389
PIF1,0.0176991150442478
TICRR,0.0471976401179941
PDXDC1,0.023598820058997
AQP8,0.00884955752212389
CLDN9,0.00589970501474926
CCDC102A,0.0147492625368732
DNAH9,0.12094395280236
FLCN,0.0176991150442478
TOP2A,0.023598820058997
EPX,0.0265486725663717
SLC13A5,0.0147492625368732
MIB1,0.0265486725663717
EMILIN2,0.023598820058997
NOL4,0.0383480825958702
C18orf25,0.00589970501474926
DSEL,0.0707964601769911
