Gene,Frequency
IL31RA,0.0257142857142857
SGK1,0.0142857142857143
C6orf15,0.02
KCNQ5,0.0542857142857143
CPA2,0.00571428571428571
STK31,0.0571428571428571
NME8,0.0228571428571429
HECW1,0.111428571428571
SRCRB4D,0.00857142857142857
KIAA1324L,0.0342857142857143
MCM7,0.0314285714285714
CSMD3,0.177142857142857
FAM150A,0.00571428571428571
PTPN3,0.0257142857142857
PALM2.AKAP2,0.0228571428571429
PPP1R26,0.0485714285714286
CHUK,0.0171428571428571
LZTS2,0.0314285714285714
BAG3,0.02
MKX,0.02
SYT15,0.0314285714285714
HKDC1,0.04
GRAMD1B,0.0257142857142857
TMEM132A,0.0457142857142857
YIF1A,0.0257142857142857
C11orf30,0.0371428571428571
HECTD4,0.102857142857143
FBXO21,0.02
LRRK2,0.0971428571428571
KRT82,0.0285714285714286
KRT6A,0.0285714285714286
CSAD,0.0114285714285714
DDIT3,0.0114285714285714
CEP290,0.0771428571428571
COL4A1,0.0714285714285714
CDX2,0.0171428571428571
BRCA2,0.0685714285714286
AHNAK2,0.134285714285714
TRAV9.1,0
CPSF2,0.0228571428571429
NEDD4,0.0428571428571429
CA12,0.00857142857142857
PIF1,0.0171428571428571
TICRR,0.0457142857142857
PDXDC1,0.0171428571428571
AQP8,0.0114285714285714
CLDN9,0.0114285714285714
CCDC102A,0.0114285714285714
DNAH9,0.108571428571429
FLCN,0.02
TOP2A,0.0228571428571429
EPX,0.0314285714285714
SLC13A5,0.0171428571428571
MIB1,0.0257142857142857
EMILIN2,0.0142857142857143
NOL4,0.04
C18orf25,0.00857142857142857
DSEL,0.0771428571428571
MAST3,0.0457142857142857
CILP2,0.0428571428571429
ZNF728,0.02
SIRT2,0.00285714285714286
NTNG1,0.0228571428571429
FLG2,0.06
PGLYRP3,0.0171428571428571
KCNN3,0.0314285714285714
TMEM79,0.02
FCRL5,0.04
CD34,0.0142857142857143
RAP1GAP,0.0114285714285714
HLX,0.0257142857142857
FBXO28,0.0142857142857143
OR2M2,0.0371428571428571
LRRC41,0.0285714285714286
C1orf173,0.0914285714285714
NOP56,0.0171428571428571
HSPA12B,0.0142857142857143
NCOA5,0.0371428571428571
CCDC116,0.0371428571428571
CABIN1,0.0485714285714286
MYO18B,0.108571428571429
LDOC1L,0
NEB,0.154285714285714
MAP2,0.0885714285714286
STK36,0.0285714285714286
NEU2,0.0114285714285714
MAP4K3,0.02
C2orf78,0.0257142857142857
MYLK,0.0714285714285714
WNT7A,0.0228571428571429
COPB2,0.02
CP,0.0428571428571429
TBL1XR1,0.02
AZI2,0.00571428571428571
PRKAR2A,0.00285714285714286
CCDC71,0.00857142857142857
RNF123,0.0371428571428571
RRP9,0.0171428571428571
NISCH,0.0285714285714286
PRICKLE2,0.0257142857142857
VGLL3,0.02
BRPF1,0.0342857142857143
CPOX,0.00857142857142857
MFAP3L,0.0142857142857143
PI4K2B,0.0114285714285714
FIP1L1,0.0228571428571429
SORCS2,0.04
RAD50,0.0314285714285714
TRPC7,0.0371428571428571
TCOF1,0.0371428571428571
DBN1,0.0285714285714286
RUFY1,0.0171428571428571
MROH2B,0.0457142857142857
PAPD7,0.02
HACE1,0.0228571428571429
LATS1,0.0428571428571429
VARS2,0.0285714285714286
MSH5,0.02
COL9A1,0.0285714285714286
TNPO3,0.0257142857142857
ABCB8,0.0142857142857143
DPP6,0.0485714285714286
KLHL7,0.0142857142857143
PCLO,0.188571428571429
KLHL38,0.02
LONRF1,0.0228571428571429
DOCK5,0.0828571428571429
COL15A1,0.0514285714285714
ODF2,0.0314285714285714
FAM166A,0.0142857142857143
ACTRT1,0.0257142857142857
SLITRK2,0.0542857142857143
ZBED1,0.0342857142857143
FAM47C,0.0771428571428571
CXXC1P1,0
KDM5C,0.0285714285714286
FGD1,0.0428571428571429
FAAH2,0.0142857142857143
ZDHHC15,0.0114285714285714
SYTL4,0.02
PDCD11,0.0342857142857143
CHEK1,0.0114285714285714
LCP1,0.0228571428571429
NIN,0.04
BRCA1,0.0314285714285714
CEACAM6,0.00857142857142857
ATF3,0
ELAVL4,0.0228571428571429
PCK1,0.0114285714285714
FARS2,0.0171428571428571
CARD11,0.0714285714285714
MID1,0.0142857142857143
XIST,0.0228571428571429
CUBN,0.1
GOLGA7B,0.00571428571428571
C11orf53,0.02
SLC1A2,0.0114285714285714
LNX2,0.0228571428571429
EXOC5,0.0142857142857143
ELL3,0.02
GABPB1,0.00857142857142857
TNRC6A,0.0485714285714286
SLC12A3,0.0371428571428571
ZFHX3,0.117142857142857
TRAF4,0.0114285714285714
ALOX15B,0.02
DSC2,0.0257142857142857
FCGBP,0.128571428571429
CEACAM1,0
MAMSTR,0.00857142857142857
PEG3,0.0828571428571429
PRAMEF12,0.0228571428571429
PDE4DIP,0.0942857142857143
ASTN1,0.0657142857142857
LAMC1,0.04
PLD5,0.0228571428571429
IQCC,0.00857142857142857
SFPQ,0.0257142857142857
PRKAA2,0.0314285714285714
SEL1L2,0.0285714285714286
CPXM1,0.0257142857142857
MYT1,0.0571428571428571
KRTAP13.3,0.00285714285714286
AP000304.12,0
ERG,0.02
ETAA1,0.0228571428571429
EPHB1,0.0542857142857143
PAK2,0.0142857142857143
PXK,0.0114285714285714
ALPK1,0.0342857142857143
MTNR1A,0.00285714285714286
CWH43,0.0142857142857143
CABS1,0.0171428571428571
SHROOM3,0.0485714285714286
HIST1H3B,0.0142857142857143
SYNGAP1,0.0314285714285714
UHRF1BP1,0.04
MLIP,0.02
LAMB1,0.0457142857142857
DENND2A,0.02
DPYS,0.0285714285714286
OC90,0.0114285714285714
CPSF1,0.0514285714285714
KIFC2,0.02
CSMD1,0.174285714285714
ZFHX4,0.225714285714286
PSKH2,0.0171428571428571
CDH17,0.0314285714285714
ADAMTSL1,0.0714285714285714
SPATA31D5P,0.0657142857142857
TMEM164,0.00857142857142857
GPR112,0.0714285714285714
TCF7L2,0.105714285714286
PCDH15,0.145714285714286
TECTA,0.111428571428571
IGF2,0.02
NADSYN1,0.0228571428571429
LRP1,0.108571428571429
NAV3,0.0971428571428571
ZDHHC20,0.0142857142857143
FANCA,0.0514285714285714
ITGAE,0.0314285714285714
ACADVL,0.0171428571428571
PTPN14,0.06
SZT2,0.0571428571428571
CPT2,0.00857142857142857
LRRC7,0.08
AL031666.2,0
SLC4A10,0.0342857142857143
PDGFRA,0.06
CTNND2,0.06
CDH10,0.0942857142857143
GRM3,0.0457142857142857
PREX2,0.0942857142857143
CRISPLD1,0.0314285714285714
IMPA1,0.0171428571428571
FRMPD3,0.0571428571428571
COL17A1,0.0457142857142857
MKI67,0.08
KLF6,0.00571428571428571
FBXO18,0.0371428571428571
DDX21,0.00571428571428571
LRIT1,0.0285714285714286
SIDT2,0.02
CARS,0.0285714285714286
INTS5,0.0285714285714286
TM7SF2,0.00285714285714286
OR2AG2,0.0114285714285714
CCND1,0.00857142857142857
CD151,0.00571428571428571
KNTC1,0.0514285714285714
ABCB9,0.0257142857142857
DNAJC14,0.00857142857142857
HSD17B6,0.0114285714285714
C12orf56,0.00857142857142857
CENPJ,0.0485714285714286
SLC7A1,0.0257142857142857
TSC22D1,0.0285714285714286
PCDH17,0.117142857142857
MYCBP2,0.122857142857143
HHIPL1,0.0114285714285714
LRP10,0.0285714285714286
SYNJ2BP,0.00285714285714286
ALKBH1,0.00571428571428571
CATSPERB,0.0371428571428571
C15orf57,0.00285714285714286
TLN2,0.0371428571428571
DAPK2,0.0171428571428571
TBL3,0.0171428571428571
E4F1,0.0314285714285714
RNPS1,0.0142857142857143
SALL1,0.0771428571428571
HAS3,0.0114285714285714
SCARF1,0.00857142857142857
MYO18A,0.0514285714285714
OR3A1,0.02
ERBB2,0.0371428571428571
GHDC,0.00857142857142857
ATP6V0A1,0.0228571428571429
MYBBP1A,0.0428571428571429
GIP,0.00285714285714286
RSAD1,0.0171428571428571
ZBTB4,0.0342857142857143
SGSH,0.00857142857142857
NPC1,0.0371428571428571
LAMA3,0.0942857142857143
GAREM,0.02
ANKRD12,0.0457142857142857
P2RY11,0.0114285714285714
PDE4A,0.0257142857142857
DNM2,0.0257142857142857
YIPF2,0.00571428571428571
SIN3B,0.04
UPF1,0.0342857142857143
TJP3,0.0228571428571429
ZFP36,0.00857142857142857
ZNF574,0.0342857142857143
PNMAL2,0.0285714285714286
GNG8,0
PRKCG,0.0428571428571429
BRSK1,0.0285714285714286
ZNF471,0.0371428571428571
ZIM3,0.02
ZNF584,0.0114285714285714
XAB2,0.0371428571428571
TRMT13,0.02
EPS8L3,0.0171428571428571
SYCP1,0.0314285714285714
ADAMTSL4,0.0542857142857143
DENND4B,0.0571428571428571
C1orf85,0.0142857142857143
C1orf64,0.00285714285714286
NFASC,0.114285714285714
PM20D1,0.0257142857142857
FCAMR,0.04
RP11.193H5.1,0.0171428571428571
DLGAP3,0.0485714285714286
LEPRE1,0.0171428571428571
IPP,0.0114285714285714
GLIS1,0.0142857142857143
RP4.705O1.1,0
ZHX3,0.0314285714285714
SLCO4A1,0.0257142857142857
SYNJ1,0.0342857142857143
FAM211B,0.0114285714285714
MICALL1,0.02
CPT1B,0.02
SULT1C2,0.00857142857142857
KCNE4,0.0114285714285714
LHCGR,0.0342857142857143
PNO1,0.00857142857142857
TET3,0.0628571428571429
SNRNP200,0.0371428571428571
CNNM3,0.00857142857142857
SEMA5B,0.0571428571428571
UBA5,0.0114285714285714
GRIP2,0.0342857142857143
LAMB2,0.0428571428571429
BSN,0.111428571428571
CAMKV,0.0285714285714286
CACNA1D,0.0714285714285714
WDR1,0.0171428571428571
SPATA5,0.0342857142857143
RAB28,0.00571428571428571
NELFA,0.0171428571428571
ZNF721,0.0342857142857143
KIT,0.0457142857142857
PDE6B,0.0285714285714286
UGT2B17,0.0142857142857143
SH3TC1,0.0485714285714286
WDR36,0.0285714285714286
CAMK4,0.0142857142857143
ARAP3,0.0428571428571429
SH3PXD2B,0.0285714285714286
CDH12,0.0542857142857143
SDHA,0.0342857142857143
